"DatePosted","CVE","BulletinKB","Title","AffectedProduct","AffectedComponent","Severity","Impact","Exploits"
"20231212","CVE-2023-35630","5033371","Internet Connection Sharing (ICS) Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Critical","Remote Code Execution",""
"20231212","CVE-2023-35630","5033371","Internet Connection Sharing (ICS) Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Critical","Remote Code Execution",""
"20231114","CVE-2023-36402","5032196","Microsoft WDAC OLE DB provider for SQL Server Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231114","CVE-2023-36402","5032196","Microsoft WDAC OLE DB provider for SQL Server Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231114","CVE-2023-36402","5032196","Microsoft WDAC OLE DB provider for SQL Server Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231114","CVE-2023-36402","5032196","Microsoft WDAC OLE DB provider for SQL Server Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20190213","ADV190003","4487038","February 2019 Adobe Flash Security Update","Adobe Flash Player on Windows Server 2019","Adobe Flash Player","Important","Information Disclosure",""
"20231212","CVE-2023-35644","5033371","Windows Sysmain Service Elevation of Privilege","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231212","CVE-2023-35644","5033371","Windows Sysmain Service Elevation of Privilege","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231212","CVE-2023-35644","5033371","Windows Sysmain Service Elevation of Privilege","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231212","CVE-2023-35644","5033371","Windows Sysmain Service Elevation of Privilege","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20190910","CVE-2019-1142","4514601",".NET Framework Elevation of Privilege Vulnerability","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019",".NET Framework","Important","Elevation of Privilege",""
"20190910","CVE-2019-1142","4514601",".NET Framework Elevation of Privilege Vulnerability","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019",".NET Framework","Important","Elevation of Privilege",""
"20190910","CVE-2019-1142","4514601",".NET Framework Elevation of Privilege Vulnerability","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019",".NET Framework","Important","Elevation of Privilege",""
"20190910","CVE-2019-1142","4514601",".NET Framework Elevation of Privilege Vulnerability","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019",".NET Framework","Important","Elevation of Privilege",""
"20231102","CVE-2023-36788","5030178",".NET Framework Remote Code Execution Vulnerability","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231102","CVE-2023-36788","5030178",".NET Framework Remote Code Execution Vulnerability","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231102","CVE-2023-36788","5030178",".NET Framework Remote Code Execution Vulnerability","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231102","CVE-2023-36788","5030178",".NET Framework Remote Code Execution Vulnerability","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231114","CVE-2023-36719","5032196","Microsoft Speech Application Programming Interface (SAPI) Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231114","CVE-2023-36719","5032196","Microsoft Speech Application Programming Interface (SAPI) Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231114","CVE-2023-36719","5032196","Microsoft Speech Application Programming Interface (SAPI) Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231114","CVE-2023-36719","5032196","Microsoft Speech Application Programming Interface (SAPI) Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231212","CVE-2023-35622","5033371","Windows DNS Spoofing Vulnerability","Windows Server 2019","Microsoft","Important","Spoofing",""
"20231212","CVE-2023-35622","5033371","Windows DNS Spoofing Vulnerability","Windows Server 2019","Microsoft","Important","Spoofing",""
"20231212","CVE-2023-35622","5033371","Windows DNS Spoofing Vulnerability","Windows Server 2019","Microsoft","Important","Spoofing",""
"20231212","CVE-2023-35622","5033371","Windows DNS Spoofing Vulnerability","Windows Server 2019","Microsoft","Important","Spoofing",""
"20231114","CVE-2023-36404","5032196","Windows Kernel Information Disclosure Vulnerability","Windows Server 2019","Microsoft","Important","Information Disclosure",""
"20231114","CVE-2023-36404","5032196","Windows Kernel Information Disclosure Vulnerability","Windows Server 2019","Microsoft","Important","Information Disclosure",""
"20231114","CVE-2023-36404","5032196","Windows Kernel Information Disclosure Vulnerability","Windows Server 2019","Microsoft","Important","Information Disclosure",""
"20231114","CVE-2023-36404","5032196","Windows Kernel Information Disclosure Vulnerability","Windows Server 2019","Microsoft","Important","Information Disclosure",""
"20231114","CVE-2023-36028","5032196","Microsoft Protected Extensible Authentication Protocol (PEAP) Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231114","CVE-2023-36028","5032196","Microsoft Protected Extensible Authentication Protocol (PEAP) Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231114","CVE-2023-36028","5032196","Microsoft Protected Extensible Authentication Protocol (PEAP) Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231114","CVE-2023-36028","5032196","Microsoft Protected Extensible Authentication Protocol (PEAP) Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20220816","CVE-2021-40447","5005568","Windows Print Spooler Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20220816","CVE-2021-40447","5005568","Windows Print Spooler Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20220816","CVE-2021-40447","5005568","Windows Print Spooler Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20220816","CVE-2021-40447","5005568","Windows Print Spooler Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231114","CVE-2023-36392","5032196","DHCP Server Service Denial of Service Vulnerability","Windows Server 2019","Microsoft","Important","Denial of Service",""
"20231114","CVE-2023-36392","5032196","DHCP Server Service Denial of Service Vulnerability","Windows Server 2019","Microsoft","Important","Denial of Service",""
"20231114","CVE-2023-36392","5032196","DHCP Server Service Denial of Service Vulnerability","Windows Server 2019","Microsoft","Important","Denial of Service",""
"20231114","CVE-2023-36392","5032196","DHCP Server Service Denial of Service Vulnerability","Windows Server 2019","Microsoft","Important","Denial of Service",""
"20201013","ADV200012","4580325","October 2020 Adobe Flash Security Update","Adobe Flash Player on Windows Server 2019","Issuing CNA","Critical","Remote Code Execution",""
"20181129","ADV180030","4477029","November 20, 2018 Flash Updates","Adobe Flash Player on Windows Server 2019","Adobe Flash Player","Critical","Remote Code Execution",""
"20231114","CVE-2023-36427","5032196","Windows Hyper-V Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231114","CVE-2023-36427","5032196","Windows Hyper-V Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231114","CVE-2023-36427","5032196","Windows Hyper-V Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231114","CVE-2023-36427","5032196","Windows Hyper-V Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20200512","CVE-2020-0605","4556441",".NET Framework Remote Code Execution Vulnerability","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019",".NET Framework","Critical","Remote Code Execution",""
"20200512","CVE-2020-0605","4556441",".NET Framework Remote Code Execution Vulnerability","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019",".NET Framework","Critical","Remote Code Execution",""
"20200512","CVE-2020-0605","4556441",".NET Framework Remote Code Execution Vulnerability","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019",".NET Framework","Critical","Remote Code Execution",""
"20200512","CVE-2020-0605","4556441",".NET Framework Remote Code Execution Vulnerability","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019",".NET Framework","Critical","Remote Code Execution",""
"20190709","CVE-2019-1006","4507419","WCF/WIF SAML Token Authentication Bypass Vulnerability","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20190709","CVE-2019-1006","4507419","WCF/WIF SAML Token Authentication Bypass Vulnerability","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20190709","CVE-2019-1006","4507419","WCF/WIF SAML Token Authentication Bypass Vulnerability","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20190709","CVE-2019-1006","4507419","WCF/WIF SAML Token Authentication Bypass Vulnerability","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20190709","CVE-2019-1006","4507419","WCF/WIF SAML Token Authentication Bypass Vulnerability","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20190709","CVE-2019-1006","4507419","WCF/WIF SAML Token Authentication Bypass Vulnerability","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20190709","CVE-2019-1006","4507419","WCF/WIF SAML Token Authentication Bypass Vulnerability","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20190709","CVE-2019-1006","4507419","WCF/WIF SAML Token Authentication Bypass Vulnerability","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20190709","CVE-2019-1006","4507419","WCF/WIF SAML Token Authentication Bypass Vulnerability","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20190709","CVE-2019-1006","4507419","WCF/WIF SAML Token Authentication Bypass Vulnerability","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20190709","CVE-2019-1006","4507419","WCF/WIF SAML Token Authentication Bypass Vulnerability","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20190709","CVE-2019-1006","4507419","WCF/WIF SAML Token Authentication Bypass Vulnerability","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20190709","CVE-2019-1006","4507419","WCF/WIF SAML Token Authentication Bypass Vulnerability","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20190709","CVE-2019-1006","4507419","WCF/WIF SAML Token Authentication Bypass Vulnerability","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20190709","CVE-2019-1006","4507419","WCF/WIF SAML Token Authentication Bypass Vulnerability","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20190709","CVE-2019-1006","4507419","WCF/WIF SAML Token Authentication Bypass Vulnerability","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20210923","CVE-2021-38629","5005568","Windows Ancillary Function Driver for WinSock Information Disclosure Vulnerability","Windows Server 2019","Microsoft","Important","Information Disclosure",""
"20210923","CVE-2021-38629","5005568","Windows Ancillary Function Driver for WinSock Information Disclosure Vulnerability","Windows Server 2019","Microsoft","Important","Information Disclosure",""
"20210923","CVE-2021-38629","5005568","Windows Ancillary Function Driver for WinSock Information Disclosure Vulnerability","Windows Server 2019","Microsoft","Important","Information Disclosure",""
"20210923","CVE-2021-38629","5005568","Windows Ancillary Function Driver for WinSock Information Disclosure Vulnerability","Windows Server 2019","Microsoft","Important","Information Disclosure",""
"20231114","CVE-2023-36400","5032196","Windows HMAC Key Derivation Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Critical","Elevation of Privilege",""
"20231114","CVE-2023-36400","5032196","Windows HMAC Key Derivation Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Critical","Elevation of Privilege",""
"20231114","CVE-2023-36400","5032196","Windows HMAC Key Derivation Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Critical","Elevation of Privilege",""
"20231114","CVE-2023-36400","5032196","Windows HMAC Key Derivation Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Critical","Elevation of Privilege",""
"20231212","CVE-2023-20588","5033371","AMD: CVE-2023-20588 AMD Speculative Leaks Security Notice","Windows Server 2019","AMD","Important","Information Disclosure",""
"20231212","CVE-2023-20588","5033371","AMD: CVE-2023-20588 AMD Speculative Leaks Security Notice","Windows Server 2019","AMD","Important","Information Disclosure",""
"20231212","CVE-2023-20588","5033371","AMD: CVE-2023-20588 AMD Speculative Leaks Security Notice","Windows Server 2019","AMD","Important","Information Disclosure",""
"20231212","CVE-2023-20588","5033371","AMD: CVE-2023-20588 AMD Speculative Leaks Security Notice","Windows Server 2019","AMD","Important","Information Disclosure",""
"20210923","CVE-2021-36975","5005568","Win32k Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20210923","CVE-2021-36975","5005568","Win32k Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20210923","CVE-2021-36975","5005568","Win32k Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20210923","CVE-2021-36975","5005568","Win32k Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231114","CVE-2023-36794","5030178","Visual Studio Remote Code Execution Vulnerability","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231114","CVE-2023-36794","5030178","Visual Studio Remote Code Execution Vulnerability","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231114","CVE-2023-36794","5030178","Visual Studio Remote Code Execution Vulnerability","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231114","CVE-2023-36794","5030178","Visual Studio Remote Code Execution Vulnerability","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20190709","CVE-2019-1083","4507419",".NET Denial of Service Vulnerability","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019","Microsoft","Important","Denial of Service",""
"20190709","CVE-2019-1083","4507419",".NET Denial of Service Vulnerability","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019","Microsoft","Important","Denial of Service",""
"20190709","CVE-2019-1083","4507419",".NET Denial of Service Vulnerability","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019","Microsoft","Important","Denial of Service",""
"20190709","CVE-2019-1083","4507419",".NET Denial of Service Vulnerability","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019","Microsoft","Important","Denial of Service",""
"20190709","CVE-2019-1083","4507419",".NET Denial of Service Vulnerability","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019","Microsoft","Important","Denial of Service",""
"20190709","CVE-2019-1083","4507419",".NET Denial of Service Vulnerability","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019","Microsoft","Important","Denial of Service",""
